,자치구명,행정동명,년도,인허가일자,폐업일자,영업상태코드,영업상태명,사업장명,X,Y,시설총규모,규모분기,총층수1,업소위치분기,영업기간,당월_매출_금액,당월_매출_건수,점포수,cluster_id,역이름,SX,SY,호선,distance,d_code
703,종로구,삼청동,2006,2006-01-19,2020-12-31,1,영업,커피투고,126.9789509,37.57942269,18.0,2,22.0,1,5460,332109487.0,30541.0,13.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.65654,3
705,종로구,종로1.2.3.4가동,2006,2006-01-23,2020-12-31,1,영업,윈윈커피,126.9784783,37.56939774,13.1,1,4.0,1,5456,83213521.0,13240.0,6.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.30925,2
708,종로구,삼청동,2006,2006-02-06,2019-08-28,2,폐업,가모,126.9792449,37.5840399,116.03,9,1.0,1,4951,264624047.0,20252.0,15.0,154.0,안국역,126.98541920000001,37.57649291,03호선,1.00014,4
709,종로구,혜화동,2006,2006-02-08,2020-12-31,1,영업,커피만 성균관대점,126.9942717,37.58452068,26.24,3,0.0,1,5440,110160048.0,12518.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.72919,4
713,종로구,종로1.2.3.4가동,2006,2006-03-15,2020-12-31,1,영업,스타벅스 광교점,126.9812986,37.56893747,180.51,10,0.0,1,5405,83213521.0,13240.0,6.0,205.0,종각역,126.9831338,37.57022168,01호선,0.21575999999999998,1
716,종로구,종로1.2.3.4가동,2006,2006-04-11,2020-12-31,1,영업,캔모아,126.9896245,37.57097422,52.32,5,1.0,1,5378,385169402.0,28637.0,13.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.23044,1
718,종로구,종로1.2.3.4가동,2006,2006-04-21,2020-12-31,1,영업,이디야커피,126.98384720000001,37.56877884,39.6,4,5.0,1,5368,607241430.0,71446.0,9.0,205.0,종각역,126.9831338,37.57022168,01호선,0.17232,1
720,종로구,삼청동,2006,2006-05-11,2020-12-31,1,영업,북카페내서재,126.97878590000002,37.58326061,60.26,6,0.0,1,5348,264624047.0,20252.0,15.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.95289,4
723,종로구,종로1.2.3.4가동,2006,2006-07-25,2020-12-31,1,영업,스타벅스 종각점,126.9816878,37.56997877,550.9,10,0.0,0,5273,152473261.0,43013.0,2.0,205.0,종각역,126.9831338,37.57022168,01호선,0.13027,1
729,종로구,혜화동,2006,2006-09-27,2020-12-31,1,영업,떼루와 성균관대점,126.9944189,37.58436946,8.8,1,1.0,1,5209,110160048.0,12518.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.7108800000000001,3
731,종로구,삼청동,2006,2006-10-18,2020-12-31,1,영업,피터팬과돈키호테/JH산업개발,126.9790888,37.58343733,16.38,2,1.0,1,5188,264624047.0,20252.0,15.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.9526100000000001,4
737,종로구,종로1.2.3.4가동,2007,2007-01-24,2014-07-22,2,폐업,민들레영토(신관),126.9823991,37.57060572,132.44,9,0.0,1,2736,152473261.0,43013.0,2.0,205.0,종각역,126.9831338,37.57022168,01호선,0.07757,1
740,종로구,종로1.2.3.4가동,2007,2007-03-02,2020-12-31,1,영업,쥬스식스 종각역점,126.9830213,37.57042759,13.2,1,3.0,1,5053,152473261.0,43013.0,2.0,205.0,종각역,126.9831338,37.57022168,01호선,0.02495,1
744,종로구,종로1.2.3.4가동,2007,2007-03-26,2015-11-03,2,폐업,리틀제이콥스 프리미엄 서머셋점,126.9783347,37.5750964,38.72,4,0.0,1,3144,332109487.0,30541.0,13.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.4197,2
745,종로구,혜화동,2007,2007-03-26,2020-12-31,1,영업,띵똥와플,126.99499440000001,37.58372629,12.74,1,0.0,1,5029,110160048.0,12518.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.6392800000000001,3
748,종로구,종로1.2.3.4가동,2007,2007-05-21,2019-08-07,2,폐업,퍼즈,126.9824064,37.56995272,71.0,7,7.0,1,4461,152473261.0,43013.0,2.0,205.0,종각역,126.9831338,37.57022168,01호선,0.07074,1
754,종로구,종로1.2.3.4가동,2007,2007-06-26,2014-04-24,2,폐업,로이드커피,126.9775588,37.57342483,57.55,6,4.0,1,2494,152473261.0,43013.0,2.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.22241,1
756,종로구,삼청동,2007,2007-07-09,2020-12-31,1,영업,cafe ICAM,126.9780105,37.58167522,37.12,4,0.0,1,4924,264624047.0,20252.0,15.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.8708100000000001,4
758,종로구,이화동,2007,2007-08-09,2014-08-18,2,폐업,Third floor(써드 플로어),127.00020090000001,37.57681283,14.85,2,2.0,0,2566,821801166.0,77625.0,9.0,207.0,종로5가역,127.0015395,37.57096169,01호선,0.66123,3
759,종로구,종로5.6가동,2007,2007-08-10,2020-12-31,1,영업,써브웨이 종로5가점,126.99869040000002,37.57121393,49.5,5,15.0,1,4892,152473261.0,43013.0,2.0,207.0,종로5가역,127.0015395,37.57096169,01호선,0.25266,1
762,종로구,종로1.2.3.4가동,2007,2007-08-31,2016-08-31,2,폐업,씨엔엔카페 종로점,126.98518729999999,37.56972335,18.87,2,0.0,1,3288,607241430.0,71446.0,9.0,205.0,종각역,126.9831338,37.57022168,01호선,0.18928,1
763,종로구,종로1.2.3.4가동,2007,2007-08-30,2020-12-31,1,영업,이디야커피,126.98864590000001,37.57010026,60.0,6,0.0,1,4872,152473261.0,43013.0,2.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.31037,2
772,종로구,종로1.2.3.4가동,2007,2007-10-31,2020-12-31,1,영업,제일상회,126.9769601,37.57045889,6.6,1,1.0,1,4810,152473261.0,43013.0,2.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.14044,1
774,종로구,부암동,2007,2007-11-01,2015-11-13,2,폐업,Dropp(드롭),126.96029329999999,37.59476761,99.0,9,1.0,1,2934,739202502.0,82121.0,16.0,83.0,무악재역,126.950231,37.58255602,03호선,1.6216899999999999,4
779,종로구,종로1.2.3.4가동,2007,2007-12-06,2019-04-22,2,폐업,포이트리,126.9959305,37.57262401,22.0,2,24.0,0,4155,152473261.0,43013.0,2.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.41397,2
