,시설총규모,업소위치분기,distance,성공여부,창업월,구_1_25,프랜차이즈여부_02,sub_19
32702,94.0,1,0.87008,1,10,10,0,2
7590,30.0,2,0.1903,0,6,12,0,4
23087,82.0,1,1.6387099999999999,1,2,9,0,1
63,57.87,1,0.43848000000000004,0,9,5,0,7
23766,46.0,1,1.03338,0,6,9,0,1
30257,33.0,1,0.5284300000000001,1,7,1,0,6
20059,21.76,1,1.06619,1,1,6,0,4
8845,30.98,1,0.28615,1,10,13,0,5
3585,10.39,0,0.61073,0,8,4,0,7
25998,49.39,0,0.27891,0,3,2,0,8
27696,16.52,1,0.25801999999999997,1,8,1,0,1
22947,97.8,1,0.9246200000000001,0,1,9,0,6
15208,30.0,1,0.3339,1,5,3,0,1
27902,155.37,1,0.35539,1,10,1,0,6
1857,15.54,1,0.34504,1,12,5,0,5
3400,145.52,1,0.28009,1,4,4,2,1
3783,423.15,1,0.18048,1,4,4,0,1
23318,386.4,1,0.45688,1,4,9,0,1
28369,186.94,1,0.32664,1,8,1,1,1
20432,0.0,1,0.9267,1,4,6,0,6
18389,33.73,1,0.54706,1,3,14,0,4
23310,16.0,1,0.5101,1,3,9,0,1
30709,16.8,1,0.32705,1,8,1,0,8
6429,18.0,1,0.20371,1,5,18,0,2
15768,42.57,1,1.44502,0,6,15,0,2
14996,19.38,1,0.8207,1,3,3,0,5
17643,6.0,0,0.28706,1,2,7,0,8
21355,12.85,1,0.44563,1,12,6,0,4
22148,70.0,1,0.30518,1,10,19,0,6
25934,47.17,1,0.68972,0,9,2,0,3
3484,90.95,1,0.36384,0,1,4,0,7
31500,132.31,1,1.1251200000000001,1,8,8,0,2
215,60.29,1,0.23415,0,2,5,0,4
12494,76.03,1,0.53805,1,11,11,0,1
30586,15.0,1,0.26075,0,5,1,0,8
23439,19.8,1,0.5956600000000001,0,11,9,0,1
23331,20.66,1,0.20423,1,6,9,0,1
16243,44.64,1,0.74002,1,11,15,0,2
12067,20.0,1,0.56979,1,12,20,0,5
8448,61.54,1,0.38671,1,12,22,0,6
32160,91.46,1,0.35703,1,8,8,0,9
12828,73.2,1,0.42086,0,5,11,0,1
20992,37.8,0,0.015619999999999998,0,12,6,0,8
1433,64.45,1,0.65047,1,4,5,0,3
5653,11.0,1,0.28302,1,11,21,0,3
32196,33.0,1,0.6139,0,3,8,0,8
12475,91.77,1,0.39233,1,1,11,0,1
23782,29.7,1,0.44148000000000004,1,9,9,0,1
17179,98.14,1,0.48706000000000005,1,8,7,0,2
19191,73.33,1,0.9587100000000001,1,12,23,0,1
19628,42.4,1,0.36906,1,5,23,0,4
5292,27.6,1,0.37016,1,10,21,0,1
31948,60.0,1,0.90327,1,12,8,0,3
19598,26.04,1,0.9242100000000001,1,1,23,0,4
33721,49.0,1,0.29561,1,8,10,0,9
16175,58.84,2,0.45503000000000005,0,10,15,0,8
29317,18.72,1,0.33273,1,7,1,0,3
10413,66.0,0,0.34867,1,6,24,1,7
18292,289.0,1,0.35696,1,2,14,0,1
28642,128.7,1,0.8786700000000001,1,9,1,1,1
28247,167.37,1,0.64257,1,3,1,1,3
33325,70.95,1,1.05625,1,7,10,0,9
31404,45.66,1,0.49833,1,5,8,0,9
25636,102.76,1,0.29402,1,1,2,0,1
1727,16.5,0,1.88454,1,11,5,0,3
18913,15.0,1,0.46889,1,9,14,0,1
20428,14.5,1,0.10942,1,9,6,0,2
8081,28.5,1,0.45135,1,12,22,0,6
25826,43.6,1,0.19161,1,3,2,0,6
32706,51.22,1,2.9492700000000003,1,12,10,0,8
30522,80.0,2,0.33423,0,3,1,0,8
8744,0.0,1,0.5941,0,1,13,0,7
22701,126.7,1,1.34906,0,7,9,0,1
22771,61.37,1,1.52126,1,9,9,0,1
18611,20.25,1,0.16909000000000002,0,7,14,0,6
16842,220.24,1,0.76149,0,5,7,0,2
29394,23.79,1,0.55976,0,10,1,0,6
31762,170.0,1,0.48286,0,5,8,0,9
12118,48.21,1,0.56863,0,9,20,0,5
11382,35.0,1,0.35517,1,10,16,0,7
264,46.2,1,0.41978000000000004,0,9,5,0,5
20230,64.62,1,0.51332,1,4,6,0,1
8868,70.95,1,0.15813,1,4,13,0,7
16483,71.67,1,0.30685,0,8,15,0,8
24160,55.46,1,0.20247,1,11,2,0,8
29671,33.05,1,0.26075,0,11,1,0,8
3010,80.0,1,0.27933,1,12,4,0,1
32380,10.02,1,0.3381,1,9,8,0,1
15443,37.56,1,1.88135,1,7,3,0,5
5346,43.03,1,0.2664,1,8,21,0,3
22730,62.22,1,0.92445,1,8,9,0,6
15389,22.0,1,0.34752,1,4,3,0,1
9288,25.33,1,0.32208000000000003,1,2,13,0,5
28574,33.0,1,0.24911999999999998,1,6,1,0,3
4236,132.0,1,0.08204,0,11,17,1,7
14240,72.0,1,0.45981000000000005,1,2,3,0,2
